icao24;callsign;origin_country;time_position;last_contact;longitude;latitude;baro_altitude;on_ground;velocity;true_track;vertical_rate;sensors;geo_altitude;squawk;spi;position_source
7808ad;;China;2025-05-22 22:21:52;2025-05-22 22:22:00;113.1428;22.0011;3238.5;False;183.6;26.28;-3.58;;3451.86;0714;False;0
a54e56;N441AB  ;United States;2025-05-22 22:22:02;2025-05-22 22:22:02;-93.0757;38.5885;9144.0;False;102.85;295.8;0.33;;9342.12;3034;False;0
ab236a;AAL127  ;United States;2025-05-22 22:21:06;2025-05-22 22:21:06;-164.4072;58.7438;12192.0;False;248.84;273.08;-0.33;;12054.84;;False;0
ac4356;N89DR   ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-92.2681;37.9456;7010.4;False;158.3;58.01;0.33;;7147.56;;False;0
a04aa9;RPA4652 ;United States;2025-05-22 22:22:03;2025-05-22 22:22:04;-88.0798;41.9519;891.54;False;92.69;87.46;-4.23;;891.54;6563;False;0
a7a8a6;N593BA  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-116.6353;43.7994;1661.16;False;41.24;49.55;-0.33;;1668.78;;False;0
a17db4;N1954T  ;United States;2025-05-22 22:21:04;2025-05-22 22:22:04;-80.9654;32.2511;556.26;False;46.24;237.72;-0.33;;518.16;;False;0
0ac9f2;AVA241  ;Colombia;2025-05-22 22:22:01;2025-05-22 22:22:04;-76.4358;-6.1419;10370.82;False;247.46;180.48;-0.33;;11094.72;;False;0
a9b06f;DAL668  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-85.6832;42.4606;11887.2;False;254.7;91.16;0.0;;11879.58;6071;False;0
a66e3b;SKW6449 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-111.8909;33.4286;899.16;False;88.48;270.0;-3.9;;883.92;4521;False;0
ab237c;N881RC  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-110.3193;32.5242;7475.22;False;177.37;285.65;-9.75;;7894.32;;False;0
71c708;TWB164  ;Republic of Korea;2025-05-22 22:22:04;2025-05-22 22:22:04;120.4125;22.8296;11887.2;False;232.53;3.81;0.0;;12702.54;;False;0
a91e11;PDT5826 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-87.3563;42.3882;3329.94;False;178.77;249.27;0.33;;3307.08;7435;False;0
a3b2c0;N3374M  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-84.2165;39.0818;1158.24;False;65.21;150.2;0.33;;1150.62;;False;0
4cc45a;ABD7044 ;Iceland;2025-05-22 22:22:03;2025-05-22 22:22:04;-79.3377;37.1713;10957.56;False;224.09;225.37;-3.25;;10995.66;0565;False;0
acb997;N919RF  ;United States;2025-05-22 22:22:03;2025-05-22 22:22:04;-87.4494;41.3248;1226.82;False;40.7;339.27;0.0;;1181.1;1200;False;0
a4e5bc;N41429  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-112.2938;41.3333;2895.6;False;57.99;201.33;0.0;;2956.56;;False;0
a1373d;DAL1349 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-103.7674;42.5016;11277.6;False;274.22;89.25;0.0;;11551.92;;False;0
a4e5be;ASI230  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-112.1861;33.7342;975.36;False;52.92;116.57;-2.28;;937.26;0220;False;0
885179;THA917  ;Thailand;2025-05-22 22:22:04;2025-05-22 22:22:04;16.2548;48.9635;10058.4;False;259.81;108.11;0.0;;10142.22;1150;False;0
a8a393;TCF656  ;United States;2025-05-22 22:22:03;2025-05-22 22:22:03;-80.6329;27.9791;1508.76;False;71.93;49.93;-8.45;;1546.86;;False;0
ac3053;SWA1597 ;United States;2025-05-22 22:21:48;2025-05-22 22:21:59;-101.0245;37.7478;10363.2;False;212.61;249.46;0.0;;10736.58;;False;0
adc65b;NKS2401 ;United States;2025-05-22 22:22:03;2025-05-22 22:22:04;-89.4328;28.7592;11285.22;False;262.04;106.66;0.0;;11849.1;7206;False;0
a482fc;EDV5130 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-86.1964;34.3489;8237.22;False;279.01;107.93;-10.08;;8442.96;6355;False;0
a65b27;N5088Q  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-93.8232;45.6856;1356.36;False;45.0;349.46;-0.65;;1363.98;;False;0
a7de16;FFT3587 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-77.3298;40.6179;9304.02;False;225.14;276.3;3.9;;9281.16;1524;False;0
a12405;N17274  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:05;-149.9563;61.4262;777.24;False;50.93;0.0;0.33;;762.0;0132;False;0
a9b04f;N723SP  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-90.7452;38.6062;853.44;False;54.85;66.8;-2.28;;883.92;4475;False;0
a9c380;RPA3686 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-85.956;41.2771;7620.0;False;195.6;276.19;0.33;;7635.24;3633;False;0
a41b89;DAL1171 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-82.1767;42.2533;5958.84;False;224.33;90.92;13.66;;5920.74;;False;0
408127;SRR6977 ;United Kingdom;2025-05-22 22:22:04;2025-05-22 22:22:04;0.4515;51.4757;10668.0;False;252.98;108.99;0.0;;10721.34;0510;False;0
4b1816;SWR2120 ;Switzerland;2025-05-22 22:22:03;2025-05-22 22:22:03;-4.4939;36.679;;True;3.09;132.19;;;;3017;False;0
408120;VIR129R ;United Kingdom;2025-05-22 22:22:04;2025-05-22 22:22:04;-80.8286;34.4276;12192.0;False;216.9;203.04;0.0;;12473.94;0703;False;0
a7b08d;LXJ595  ;United States;2025-05-22 22:20:16;2025-05-22 22:20:16;-81.3633;29.9756;106.68;False;68.85;128.33;-5.2;;1211.58;7424;False;0
c822ab;ZKIAE   ;New Zealand;2025-05-22 22:22:02;2025-05-22 22:22:03;175.5612;-39.2438;1676.4;False;6.45;331.39;2.28;;1836.42;;False;0
aa56da;UAL653  ;United States;2025-05-22 22:21:54;2025-05-22 22:21:54;-78.4352;27.5911;11887.2;False;235.48;6.27;0.0;;12473.94;;False;0
408124;EXS1EH  ;United Kingdom;2025-05-22 22:22:04;2025-05-22 22:22:05;9.8018;51.4988;11582.4;False;212.84;305.46;0.33;;11498.58;3223;False;0
7c6b2d;JST912  ;Australia;2025-05-22 22:19:22;2025-05-22 22:19:25;148.4309;-28.1436;10370.82;False;204.35;340.74;-0.65;;10797.54;1372;False;0
ade18c;AAL2427 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-82.4653;28.9146;10058.4;False;240.62;171.02;-0.33;;10561.32;1160;False;0
7c6b40;JST430  ;Australia;2025-05-22 22:22:04;2025-05-22 22:22:04;148.8235;-33.4081;11277.6;False;238.41;37.64;0.33;;11628.12;1427;False;0
a2e5de;N286SJ  ;United States;2025-05-22 22:21:37;2025-05-22 22:21:45;-85.8741;39.279;289.56;False;68.39;225.61;-1.95;;274.32;1370;False;0
a305fd;SKW4091 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-117.1575;33.5038;7254.24;False;233.06;90.76;5.53;;7627.62;2433;False;0
e49405;GLO1612 ;Brazil;2025-05-22 22:22:04;2025-05-22 22:22:04;-45.9668;-23.0446;7810.5;False;208.2;356.6;5.2;;8229.6;;False;0
a34e6a;ENY4249 ;United States;2025-05-22 22:21:43;2025-05-22 22:22:01;-91.0579;32.6046;9448.8;False;268.88;101.59;0.0;;9867.9;0540;False;0
aa56d4;UAL680  ;United States;2025-05-22 22:17:08;2025-05-22 22:17:08;-104.7324;39.841;1638.3;False;85.92;90.69;-3.58;;1653.54;4056;False;0
a1c5ef;N213PC  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-82.9304;40.019;7955.28;False;233.66;85.83;-9.1;;7932.42;7364;False;0
4b1809;SWR     ;Switzerland;2025-05-22 22:14:45;2025-05-22 22:21:54;8.5628;47.4425;;True;0.0;64.69;;;;2000;False;0
a282cd;N261B   ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-76.2198;38.5126;2194.56;False;92.42;43.65;-0.98;;2103.12;7024;False;0
880443;AIQ138  ;Thailand;2025-05-22 22:22:04;2025-05-22 22:22:04;100.6057;13.9177;;True;10.29;28.12;;;;;False;0
7c6b39;JST278  ;Australia;2025-05-22 22:22:04;2025-05-22 22:22:04;171.8572;-43.3458;11277.6;False;243.85;52.89;0.0;;11452.86;;False;0
880441;AIQ187  ;Thailand;2025-05-22 22:22:04;2025-05-22 22:22:04;89.9504;18.8635;9448.8;False;247.43;158.66;0.33;;10058.4;0427;False;0
4952ce;TAP646  ;Portugal;2025-05-22 22:21:56;2025-05-22 22:22:04;4.4851;50.9027;;True;0.06;334.69;;;;5231;False;0
7c6b35;JST900  ;Australia;2025-05-22 22:22:04;2025-05-22 22:22:04;144.82;-37.6606;259.08;False;80.02;274.79;16.26;;274.32;4271;False;0
a10e8b;UAL2388 ;United States;2025-05-22 22:22:05;2025-05-22 22:22:05;-87.6033;36.0851;9144.0;False;206.3;239.92;0.0;;9349.74;6223;False;0
7c35c6;FD628J  ;Australia;2025-05-22 22:19:26;2025-05-22 22:19:30;115.879;-32.0944;;True;0.0;357.19;;;;;False;0
aa56c5;N7652M  ;United States;2025-05-22 22:22:03;2025-05-22 22:22:03;-98.3728;34.5936;1036.32;False;47.89;50.67;4.88;;1051.56;;False;0
ad3c16;AAL1888 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-79.4871;35.1422;4930.14;False;175.59;10.12;-4.23;;4998.72;3073;False;0
ad19f2;SKW5545 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-104.0114;40.3612;5410.2;False;168.82;256.43;-7.48;;5623.56;;False;0
7c6b0f;JST283  ;Australia;2025-05-22 22:22:03;2025-05-22 22:22:03;172.5483;-41.7361;10972.8;False;211.49;198.43;-0.33;;11163.3;5211;False;0
a10e98;N1674E  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-96.7935;44.2947;510.54;False;33.03;307.41;-1.95;;548.64;;False;0
ac96be;AAL1696 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-80.9481;34.9994;1432.56;False;102.66;355.69;-4.88;;1440.18;3212;False;0
a798ea;SCU16   ;United States;2025-05-22 22:21:55;2025-05-22 22:21:56;-97.0735;35.7356;883.92;False;56.62;70.91;-0.33;;876.3;;False;0
aa69db;ENY3683 ;United States;2025-05-22 22:18:27;2025-05-22 22:18:29;-87.9374;42.0028;236.22;False;64.82;89.55;-3.25;;236.22;2542;False;0
7c6b28;JST136  ;Australia;2025-05-22 22:22:04;2025-05-22 22:22:04;155.1024;-26.8977;10363.2;False;198.61;332.04;0.0;;10896.6;0251;False;0
a57b3f;WUP452  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-75.4412;40.6488;;True;0.0;312.19;;;;;False;0
aa56b6;UAL2362 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-87.6742;41.8135;2110.74;False;130.29;319.64;0.0;;2087.88;7103;False;0
4952c9;TAP94KM ;Portugal;2025-05-22 22:22:04;2025-05-22 22:22:04;-9.3768;38.4355;1889.76;False;117.16;34.81;-4.55;;2049.78;3333;False;0
a46e40;DAL1205 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-81.5616;36.0886;10668.0;False;217.03;352.23;0.33;;10820.4;3171;False;0
a808d7;ATN3354 ;United States;2025-05-22 22:21:46;2025-05-22 22:21:46;-83.778;39.4512;411.48;False;72.74;216.95;-3.25;;396.24;0551;False;0
a1d8fd;UAL915  ;United States;2025-05-22 22:19:01;2025-05-22 22:19:01;-77.441;38.9466;;True;1.29;90.0;;;;;False;0
a57b4d;UAL1187 ;United States;2025-05-22 22:19:15;2025-05-22 22:19:15;-97.6702;30.2029;;True;1.8;174.38;;;;;False;0
aa56b4;UAL514  ;United States;2025-05-22 22:19:33;2025-05-22 22:19:33;-104.6868;39.9048;1653.54;False;82.32;180.72;-2.6;;1676.4;;False;0
a1c5e0;ENY3540 ;United States;2025-05-22 22:22:03;2025-05-22 22:22:04;-82.2958;38.3379;8298.18;False;212.09;357.91;-5.2;;8366.76;4431;False;0
a22e7e;N24JR   ;United States;2025-05-22 22:22:03;2025-05-22 22:22:04;-111.5584;36.7833;13106.4;False;200.69;249.75;0.33;;13548.36;3615;False;0
38c53b;AIB418  ;France;2025-05-22 22:21:38;2025-05-22 22:21:38;1.3615;43.6262;;True;10.8;143.44;;;;2000;False;0
4952c5;TAP1907 ;Portugal;2025-05-22 22:22:04;2025-05-22 22:22:04;-9.1432;38.7655;;True;3.34;292.5;;;;;False;0
4952c6;TAP828  ;Portugal;2025-05-22 22:22:04;2025-05-22 22:22:04;7.2927;44.9831;7566.66;False;199.36;92.96;-6.5;;7650.48;5204;False;0
ad3c20;ALFT6   ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-122.3718;47.736;312.42;False;68.49;357.42;0.65;;327.66;5546;False;0
a6b5b8;N531SD  ;United States;2025-05-22 22:22:03;2025-05-22 22:22:03;-96.867;32.5168;1219.2;False;79.4;58.78;0.98;;1264.92;;False;0
440db0;EJU9048 ;Austria;2025-05-22 22:22:04;2025-05-22 22:22:04;7.3463;43.6331;1920.24;False;137.47;68.72;24.71;;1943.1;;False;0
ac2f5a;SWA2890 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-88.0592;31.3911;11277.6;False;271.09;101.16;0.0;;11742.42;2243;False;0
ab63d7;DAL2238 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-105.0633;40.6588;10668.0;False;263.81;59.53;0.0;;11003.28;7261;False;0
a33b1e;AAL3026 ;United States;2025-05-22 22:22:02;2025-05-22 22:22:03;-82.5034;37.7888;10751.82;False;267.51;90.22;-4.88;;10835.64;5315;False;0
a46e35;DAL2533 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-118.9979;36.5078;10972.8;False;241.85;349.34;0.0;;11391.9;1332;False;0
c822e4;ANZ416  ;New Zealand;2025-05-22 22:22:04;2025-05-22 22:22:04;174.8208;-38.103;6545.58;False;240.28;0.98;-15.93;;6812.28;;False;0
7c6b17;JST561  ;Australia;2025-05-22 22:22:04;2025-05-22 22:22:04;145.5291;-35.9475;7741.92;False;183.91;219.21;-5.2;;7909.56;1102;False;0
4952aa;TAP224  ;Portugal;2025-05-22 22:21:30;2025-05-22 22:21:33;-77.2742;27.0232;9525.0;False;263.79;69.09;4.88;;10035.54;;False;0
4952ab;TAP058  ;Portugal;2025-05-22 22:22:04;2025-05-22 22:22:04;-38.0003;-4.6985;11887.2;False;244.74;40.82;-0.33;;12649.2;;False;0
4952ad;TAP082  ;Portugal;2025-05-22 22:21:59;2025-05-22 22:21:59;-38.3286;-8.0457;11277.6;False;246.09;24.58;0.0;;12009.12;;False;0
